address,lat,long
1176 Linden Ave,32.834667,-83.648643
1148 Linden Ave,32.8349,-83.648445
1136 Linden Ave,32.835003,-83.648361
1122 Linden Ave,32.835258,-83.64814
1580 Oglethorpe St,32.835419,-83.647835
1564 Oglethorpe St,32.835354,-83.64772
1605 Rembert Ave,32.835377,-83.648438
1621 Rembert Ave,32.835442,-83.648491
1639 Rembert Ave,32.835487,-83.648575
1675 Rembert Ave,32.835583,-83.648735
1691 Rembert Ave,32.835621,-83.648811
1709 Rembert Ave,32.83567,-83.648888
1602 Rembert Ave,32.835197,-83.648575
1620 Rembert Ave,32.83522,-83.648674
1638 Rembert Ave,32.835266,-83.648758
1660 Rembert Ave,32.835323,-83.648857
1688 Rembert Ave,32.835396,-83.648979
1609 Lawton Ave,32.834663,-83.649063
1623 Lawton Ave,32.834709,-83.649117
1635 Lawton Ave,32.834743,-83.64917
1649 Lawton Ave,32.834778,-83.649223
1661 Lawton Ave,32.834808,-83.649277
1675 Lawton Ave,32.834843,-83.649338
1687 Lawton Ave,32.834873,-83.649391
1713 Lawton Ave,32.834938,-83.649506
1606 Lawton Ave,32.834469,-83.649216
1638 Lawton Ave,32.83453,-83.649368
1658 Lawton Ave,32.834579,-83.649452
1670 Lawton Ave,32.83461,-83.649506
1680 Lawton Ave,32.834637,-83.649551
1236 Johnson Ave.,32.834579,-83.650299
1248 Johnson Ave.,32.834469,-83.650391
1256 Johnson Ave.,32.834396,-83.650444
1268 Johnson Ave.,32.834286,-83.650536
1225 Linden Ave,32.834206,-83.649406
1245 Linden Ave,32.834019,-83.649551
1259 Linden Ave,32.833893,-83.649651
1275 Linden Ave,32.83374,-83.649773
1691 Coleman Ave,32.833916,-83.650887
1625 Coleman Ave,32.833569,-83.650047
1607 Coleman Ave,32.83345,-83.649956
1580 Lawton Ave,32.83424,-83.648849
1560 Lawton Ave,32.834156,-83.648705
1205 Adams St,32.833885,-83.648338
1223 Adams St,32.833717,-83.648476
1241 Adams St,32.833549,-83.648613
1525 Coleman Ave,32.832962,-83.649155
1549 Coleman Ave,32.833111,-83.649368
1571 Coleman Ave,32.833241,-83.649521
1593 Coleman Ave,32.833324,-83.649727
1286 Linden Ave,32.833485,-83.64959
1262 Linden Ave,32.833706,-83.649414
1246 Linden Ave,32.833855,-83.6493
1690 Coleman Ave,32.833828,-83.650856
1674 Coleman Ave,32.833691,-83.650719
1658 Coleman Ave,32.833626,-83.65052
1400 Coleman Ave,32.832169,-83.647995
1420 Coleman Ave,32.832253,-83.648384
1338 Johnson Ave.,32.833385,-83.651276
1348 Johnson Ave.,32.833286,-83.65136
1360 Johnson Ave.,32.833172,-83.651466
1370 Johnson Ave.,32.833076,-83.65155
1653 Montpelier Ave,32.832878,-83.651169
1641 Montpelier Ave,32.832878,-83.651031
1294 College St,32.831749,-83.646416
1280 College St,32.831821,-83.646294
1268 College St,32.831905,-83.646217
1256 College St,32.831989,-83.646149
1248 College St,32.832043,-83.646103
1206 College Pl,32.832165,-83.645279
1262 College Pl,32.832344,-83.64563
1246 College Pl,32.832283,-83.645538
1228 College Pl,32.832214,-83.645439
1210 College Pl,32.832165,-83.645317
1263 Shamrock St,32.831272,-83.6455
1185 Ash St,32.831089,-83.645912
1095 College St,32.833965,-83.644829
1081 College St,32.83408,-83.644745
1065 College St,32.834206,-83.644646
1051 College St,32.834316,-83.644554
1035 College St,32.834442,-83.644447
1021 College St,32.834553,-83.644356
1005 College St,32.834648,-83.644165
1001 College St,32.834732,-83.644043
931 College St,32.835125,-83.643875
909 College St,32.835197,-83.643753
1048 Tattnall St,32.83461,-83.645164
1030 Tattnall St,32.834705,-83.645081
1012 Tattnall St,32.834801,-83.644997
992 Tattnall St,32.834911,-83.644905
966 Tattnall St,32.83506,-83.644791
948 Tattnall St,32.835159,-83.644714
910 Tattnall St,32.835377,-83.644547
1307 Chestnut St,32.835403,-83.643669
1351 Chestnut St,32.835567,-83.643997
1373 Chestnut St,32.83564,-83.644165
1391 Chestnut St,32.83569,-83.64431
878 Tattnall St,32.835865,-83.644234
864 Tattnall St,32.836006,-83.64415
842 Tattnall St,32.836346,-83.644005
795 Progress St,32.836418,-83.643303
781 Progress St,32.836536,-83.643257
761 Progress St,32.836693,-83.643173
796 Monroe St,32.836868,-83.643753
774 Monroe St,32.837013,-83.643646
780 Progress St,32.836422,-83.642967
794 Progress St,32.836319,-83.643044
1320 Appleton Ave,32.836216,-83.643303
1289 Appleton Ave,32.835957,-83.6427
753 College St,32.835735,-83.641495
781 College St,32.835526,-83.641968
797 College St,32.835403,-83.642235
